Date,new_daily_critical,cases_20_59,cases_60_74,cases_75+,total_critical
2020-03-21,3.0,163.1219512195122,32.62439024390244,6.117073170731707,27
2020-03-22,3.0,169.31726907630522,40.835341365461844,16.93172690763052,37
2020-03-23,10.0,228.65517241379308,60.17241379310345,23.066091954022987,42
2020-03-24,6.0,270.6923076923077,65.68269230769229,22.889423076923077,45
2020-03-25,6.0,305.3102625298329,63.90214797136038,13.186157517899762,49
2020-03-26,5.0,342.0,88.0,23.0,54
2020-03-27,9.0,298.6605080831409,54.83602771362587,15.66743648960739,65
2020-03-28,11.0,296.72921108742,77.66737739872067,19.914712153518124,69
2020-03-29,5.0,354.3620689655172,72.6896551724138,33.31609195402299,78
2020-03-30,13.0,356.9662921348314,77.86516853932585,23.258426966292134,87
2020-03-31,9.0,411.37912087912093,117.67582417582418,50.57142857142857,98
2020-04-01,16.0,416.10465116279073,106.74418604651164,50.40697674418605,111
2020-04-02,23.0,428.75000000000006,111.08522727272727,50.67045454545455,113
2020-04-03,13.0,380.4080944350759,63.88532883642496,33.87858347386172,130
2020-04-04,20.0,243.3117505995204,58.55635491606715,21.201438848920862,139
2020-04-05,15.0,350.62257495590825,66.8342151675485,35.98765432098765,135
2020-04-06,5.0,232.73942093541203,46.5478841870824,36.30734966592428,147
2020-04-07,23.0,197.59782608695653,40.07880434782609,27.029891304347828,159
2020-04-08,17.0,178.96932515337423,32.5398773006135,16.26993865030675,166
2020-04-09,18.0,210.3547400611621,35.88990825688073,14.954128440366972,166
2020-04-10,16.0,180.10169491525426,37.41242937853107,24.361581920903955,170
2020-04-11,11.0,188.16716417910447,38.74029850746268,22.137313432835818,182
2020-04-12,26.0,247.60147601476015,66.62730627306273,68.4280442804428,177
2020-04-13,21.0,208.94299287410928,26.009501187648457,22.541567695961998,192
2020-04-14,29.0,218.96143958868893,41.17223650385604,15.907455012853468,178
2020-04-15,5.0,136.95348837209303,19.953488372093023,14.511627906976745,180
2020-04-16,15.0,148.1937716262976,18.955017301038062,22.40138408304498,182
2020-04-17,9.0,153.38028169014083,18.591549295774648,3.7183098591549295,166
2020-04-18,8.0,131.40893470790377,23.81786941580756,5.74914089347079,174
2020-04-19,14.0,138.22388059701493,16.92537313432836,15.985074626865671,157
2020-04-20,8.0,141.59515570934255,16.878892733564015,18.754325259515568,155
2020-04-21,6.0,125.89855072463769,13.797101449275363,8.623188405797102,145
2020-04-22,9.0,97.5909090909091,13.818181818181818,6.909090909090909,149
2020-04-23,10.0,107.15867158671587,13.800738007380074,12.177121771217712,146
2020-04-24,3.0,109.30327868852459,10.327868852459016,7.745901639344263,144
2020-04-25,8.0,64.49044585987261,6.8789808917197455,8.598726114649683,136
2020-04-26,4.0,34.675,8.2125,3.6500000000000004,142
2020-04-27,7.0,52.90265486725664,7.8053097345132745,5.20353982300885,133
2020-04-28,2.0,61.301282051282044,3.358974358974359,8.397435897435898,128
2020-04-29,5.0,32.602739726027394,6.520547945205479,5.58904109589041,121
2020-04-30,6.0,69.8507462686567,2.1492537313432836,8.597014925373134,113
2020-05-01,5.0,49.60176991150442,5.88495575221239,0.8407079646017699,111
2020-05-02,4.0,22.596491228070178,0.8070175438596491,1.6140350877192982,112
2020-05-03,2.0,13.200000000000001,0.88,3.5199999999999996,102
2020-05-04,1.0,19.884615384615383,1.8076923076923077,1.8076923076923077,98
2020-05-05,1.0,12.000000000000002,1.6,3.2,92
2020-05-06,0.0,28.53968253968254,1.8412698412698412,1.8412698412698412,89
2020-05-07,1.0,15.724137931034482,4.586206896551724,8.517241379310345,85
2020-05-08,1.0,11.741935483870966,3.354838709677419,4.193548387096774,78
2020-05-09,3.0,12.23529411764706,1.8823529411764706,0.9411764705882353,78
2020-05-10,0.0,4.482758620689654,3.137931034482759,3.586206896551724,74
2020-05-11,4.0,13.076923076923078,3.8461538461538463,1.5384615384615383,69
2020-05-12,3.0,5.7142857142857135,0.7142857142857142,3.571428571428571,65
2020-05-13,2.0,19.833333333333332,0.9444444444444444,0.9444444444444444,61
2020-05-14,1.0,11.36842105263158,0.9473684210526315,1.894736842105263,61
2020-05-15,1.0,9.0,0.0,0.0,61
2020-05-16,0.0,2.4000000000000004,0.0,0.8,60
2020-05-17,0.0,4.333333333333334,1.7333333333333334,0.0,55
2020-05-18,4.0,7.6153846153846185,3.384615384615385,1.6923076923076925,52
2020-05-19,2.0,12.571428571428571,1.0476190476190474,1.0476190476190474,51
2020-05-20,1.0,11.785714285714285,0.0,0.0,46
2020-05-21,0.0,12.466666666666665,1.1333333333333333,1.1333333333333333,47
2020-05-22,0.0,13.65,2.1,0.0,47
2020-05-23,0.0,2.5,0.0,0.0,47
2020-05-24,0.0,10.4,0.0,0.0,43
2020-05-25,1.0,12.736842105263161,1.1578947368421053,1.1578947368421053,41
2020-05-26,0.0,30.68181818181818,9.09090909090909,2.272727272727273,36
2020-05-27,2.0,21.62162162162162,5.405405405405405,0.0,39
2020-05-28,0.0,33.47826086956522,13.391304347826086,2.2318840579710146,36
2020-05-29,1.0,20.545454545454547,2.0545454545454542,0.0,39
2020-05-30,0.0,12.551724137931034,0.0,1.9310344827586206,35
2020-05-31,1.0,39.11111111111111,4.345679012345679,1.0864197530864197,35
2020-06-01,0.0,56.25,5.208333333333332,2.083333333333333,34
2020-06-02,1.0,72.03809523809524,10.457142857142859,1.161904761904762,29
2020-06-03,0.0,62.60869565217392,3.1304347826086953,1.0434782608695652,28
2020-06-04,3.0,83.00806451612902,7.959677419354838,4.548387096774193,30
2020-06-05,0.0,70.85714285714286,8.857142857142856,1.107142857142857,29
2020-06-06,3.0,39.0,9.236842105263158,6.157894736842104,29
2020-06-07,5.0,95.2,5.6,3.3600000000000003,29
2020-06-08,1.0,97.23456790123456,22.098765432098766,1.1049382716049383,30
2020-06-09,3.0,90.99350649350652,8.987012987012987,4.4935064935064934,31
2020-06-10,1.0,141.7422222222222,19.04,8.462222222222222,32
2020-06-11,4.0,99.364161849711,7.7283236994219635,3.312138728323699,35
2020-06-12,2.0,109.1578947368421,14.982456140350877,3.2105263157894735,34
2020-06-13,1.0,79.12413793103447,5.137931034482759,2.0551724137931036,35
2020-06-14,3.0,85.45132743362831,16.849557522123895,6.017699115044248,32
2020-06-15,8.0,123.19047619047619,13.687830687830687,6.317460317460317,36
2020-06-16,2.0,174.02920634920636,29.881904761904764,9.772698412698414,38
2020-06-17,2.0,158.15492063492064,27.156190476190474,8.881269841269841,36
2020-06-18,4.0,178.7326984126984,30.689523809523806,10.036825396825396,39
2020-06-19,5.0,179.90857142857143,30.891428571428573,10.102857142857143,39
2020-06-20,3.0,92.89396825396827,15.95047619047619,5.216507936507936,40
2020-06-21,7.0,100.21772428884027,13.532822757111598,5.799781181619256,45
2020-06-22,2.0,200.43544857768055,27.065645514223196,11.599562363238512,44
2020-06-23,3.0,261.972647702407,35.37527352297593,15.160831509846826,40
2020-06-24,4.0,284.243253099927,38.38256746900073,16.449671772428886,45
2020-06-25,5.0,300.06710430342815,40.51932895696572,17.36542669584245,44
2020-06-26,6.0,270.76367614879655,36.56236323851204,15.669584245076585,45
2020-06-27,1.0,233.8413566739606,31.576586433260395,13.532822757111596,40
2020-06-28,5.0,232.37410071942446,29.205123705913316,11.60203544481488,39
2020-06-29,6.0,459.85611510791364,57.79540270222846,22.959817511844182,44
2020-06-30,12.0,477.589928057554,60.02421477452184,23.8452360063169,56
2020-07-01,7.0,591.3309352517985,74.31935427267942,29.524127039831548,59
2020-07-02,18.0,697.1223021582734,87.61537111773994,34.80610633444464,71
2020-07-03,8.0,572.9856115107914,72.01368661168627,28.60817687313564,82
2020-07-04,9.0,498.38129496402877,62.63730479031409,24.883312861905598,84
2020-07-05,15.0,497.04929008426643,57.49486321135865,24.790488283504562,93
2020-07-06,11.0,681.1861941590672,78.79441302089344,33.97437377351957,91
2020-07-07,14.0,820.1915040978877,94.87348493593443,40.9073069375505,93
2020-07-08,25.0,794.9178113817384,91.9500173150179,39.64677363499943,112
2020-07-09,35.0,915.2687290776867,105.87129170033475,45.649313170956944,127
2020-07-10,15.0,846.0669514025165,97.86655892877755,42.19785293778137,132
2020-07-11,18.0,699.8405864019394,80.95221055061756,34.904767401592984,137
2020-07-12,30.0,732.4494541581608,91.85834738617201,36.47963078015443,153
2020-07-13,43.0,1017.0279577527292,127.54806070826308,50.65305760184609,184
2020-07-14,33.0,946.0312416792401,118.64418212478921,47.1170675423804,190
2020-07-15,33.0,1105.7738528445902,138.67790893760542,55.07304517617821,209
2020-07-16,28.0,1142.4554894825596,143.27824620573358,56.89997337356883,210
2020-07-17,26.0,943.6646844767905,118.34738617200674,46.99920120706487,219
2020-07-18,28.0,850.7773142806425,106.6981450252951,42.372947545930586,236
2020-07-19,66.0,604.2000000000002,85.05011643835617,33.77588356164383,272
2020-07-20,39.0,1108.02,130.3859383561644,51.78006164383562,269
2020-07-21,37.0,1101.1000000000001,144.72677397260276,57.47522602739727,263
2020-07-22,56.0,1120.3500000000001,145.79897260273972,57.901027397260265,288
2020-07-23,57.0,1093.68,139.78664383561645,55.51335616438355,315
2020-07-24,36.0,984.4200000000001,137.78883287671235,54.71996712328767,329
2020-07-25,22.0,597.2400000000001,69.50452465753423,27.602275342465745,325
2020-07-26,38.0,572.0,65.35687671232876,25.955123287671228,315
2020-07-27,37.0,1179.41,157.3870205479452,62.50297945205479,318
